Accession number,Source,Tissue,Development stage,Country
SRX14792760,miRNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX14967143,RNA-Seq,tuber,missing,China: Gansu
SRX14967146,RNA-Seq,tuber,missing,China: Gansu
SRX14967148,RNA-Seq,tuber,missing,China: Gansu
SRX14792763,miRNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX14967144,RNA-Seq,tuber,missing,China: Gansu
SRX14792762,miRNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX14967145,RNA-Seq,tuber,missing,China: Gansu
SRX14967147,RNA-Seq,tuber,missing,China: Gansu
SRX14792761,miRNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX14792758,miRNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX14792759,miRNA-Seq,TUBER,tuber expansion period,China: Jinan
SRX14573577,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573583,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573581,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573579,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573584,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573580,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573582,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573578,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573576,RNA-Seq,Root,,"India: ICAR-CPRI, Shimla"
SRX14573575,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573571,RNA-Seq,Root,,"India: ICAR-CPRI, Shimla"
SRX14573573,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573574,RNA-Seq,Root,,"India: ICAR-CPRI, Shimla"
SRX14573572,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573569,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573570,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573568,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573567,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX14573566,RNA-Seq,Leaf,,"India: ICAR-CPRI, Shimla"
SRX14573565,RNA-Seq,Root,,"India: ICAR-CPRI, Shimla"
SRX14526375,RNA-Seq,"tuber, flesh",Tuber induction,South Korea: Pyeongchang
SRX14526380,RNA-Seq,"tuber, flesh",Tuber induction,South Korea: Pyeongchang
SRX14526376,RNA-Seq,"tuber, flesh",Tuber induction,South Korea: Pyeongchang
SRX14526378,RNA-Seq,"tuber, flesh",Tuber induction,South Korea: Pyeongchang
SRX14526377,RNA-Seq,"tuber, flesh",Tuber induction,South Korea: Pyeongchang
SRX14526379,RNA-Seq,"tuber, flesh",Tuber induction,South Korea: Pyeongchang
SRX14441647,RNA-Seq,Leaf,Full anthesis,
SRX14441646,RNA-Seq,Leaf,Full anthesis,
SRX14441645,RNA-Seq,Leaf,Full anthesis,
SRX14411094,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411089,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411093,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411086,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411092,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411091,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411087,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411090,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411085,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411088,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411084,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411082,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411083,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411081,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411079,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411080,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411078,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411077,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411076,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411075,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
SRX14411074,RNA-Seq,Leaf and Stem,seedling,China: Chongqing
DRX336782,RNA-Seq,tuber,,
DRX336780,RNA-Seq,tuber,,
DRX336781,RNA-Seq,tuber,,
